city	population	latitude	longitude
Špindlerův_Mlýn	1136	50.7256448	15.6067567
Šternberk	13239	49.7307120	17.2988474
Štramberk	3470	49.5912330	18.1170378
Štíty	1905	49.9612234	16.7657581
Štěpánov	3555	49.6849637	17.2168930
Štětí	8553	50.4529016	14.3747194
Šumperk	24735	49.9655521	16.9705651
Švihov	1666	50.1098283	13.5642886
Žacléř	3072	50.6586423	15.9078109
Žamberk	5819	50.0871434	16.4650893
Žandov	1922	50.7137234	14.3962214
Žatec	18959	50.3274423	13.5459520
Ždánice	2543	49.5474600	16.2620860
Ždírec_nad_Doubravou	3083	49.6959567	15.8136021
Žebrák	2248	49.8757493	13.8966867
Železnice	1405	50.4730968	15.3847325
Železná_Ruda	1599	49.1374249	13.2350287
Železný_Brod	6043	50.6430652	15.2539851
Židlochovice	3676	49.0379775	16.6171639
Žirovnice	3178	49.2531813	15.1882380
Žlutice	2187	50.0919193	13.1629708
Žulová	1128	50.3092956	17.0982234
Žďár_nad_Sázavou	20404	49.5629014	15.9391924
